air_ticket	AtLocation	front_door
run_shoe	RelatedTo	sneaker
rich_person	ReceivesAction	admire
neck/n	IsA	lever/n
racquet	RelatedTo	tennis
october	Antonym	june
curse	RelatedTo	foul
peerless	EtymologicallyDerivedFrom	pee
mouth/n	IsA	bodily_process/n
deli	UsedFor	eat_lunch
abdicate/v	Synonym	relinquish
title/n	IsA	projection/n
duotheism	RelatedTo	deity
iniquitous	Synonym	unethical
recitation	RelatedTo	previously
primate	IsA	terrestrial_organism
include/v	IsA	calculate/v
intentional	RelatedTo	intent
overflow	AtLocation	sewer
firecracker	RelatedTo	bang
collapse/v	IsA	calculate/v
pair_of_glass	Synonym	spectacle
adieu	Synonym	cheerio
draft/n	IsA	transformation/n
vitamin	DerivedFrom	vitamin
throw/v	IsA	send/v
porter	AtLocation	at_airport
boxer/n	IsA	inhabitant/n
create_something_to_help_other_person	HasSubevent	earn_money
keyframe	RelatedTo	animation
jess	RelatedTo	jesse
gallery	RelatedTo	theater
chaser	EtymologicallyDerivedFrom	chase
egyptian_pyramid	IsA	statue
electronegativity	DerivedFrom	electronegative
blast/v	IsA	contend/v
chase/v	IsA	miss/v
ashamed	RelatedTo	shame
seep	RelatedTo	siphon
dullard	Synonym	noodle
go_to_sport_event	HasSubevent	yell
phonograph	RelatedTo	cylinder
imprudent	RelatedTo	prudence
birth/n	IsA	situation/n
bland	RelatedTo	flavor
orion	RelatedTo	giant
chatter/v	IsA	desire/v
olive_oil	EtymologicallyDerivedFrom	olive
avarice	RelatedTo	suppose
pepper	RelatedTo	ferment
verge	Synonym	eve
introduce	RelatedTo	acquaint
inositol	DerivedFrom	ot
tumor/n	IsA	vegetation/n
agile	RelatedTo	quick
income_tax	RelatedTo	deduction
crop/v	IsA	advance/v
farmland	AtLocation	north_dakota
expanse	RelatedTo	expand
tiller	RelatedTo	arrow
monocot_family/n	IsA	association/n
perfume	RelatedTo	scent
tender	IsA	boat/n
half_and_half	RelatedTo	mild
hera	RelatedTo	zeus
formal_system	PartOf	syntax
background	Synonym	wallpaper
laugh_at_joke	UsedFor	polite
blowfish	HasProperty	poisonous
lobe/n	IsA	reason/n
expansion/n	IsA	speech/n
reception/n	IsA	restraint/n
trestle	IsA	localize_spatial_thing
bleacher	AtLocation	ancient_greece
water_spout	AtLocation	cellar
earnest	RelatedTo	heartfelt
bbq	AtLocation	suburb
romani	RelatedTo	rom
cluster	Synonym	group_of_thing
soundstage	AtLocation	studio
margin	RelatedTo	marginal
sidetrack	RelatedTo	freight
episcopalian	RelatedTo	episcopal
spot/n	IsA	section/n
pineapple	RelatedTo	pizza
chauffeur	RelatedTo	fire_truck
botany	RelatedTo	botanical
typewriter_key	AtLocation	typewriter_keyboard
sib	RelatedTo	descend
eiffel_tower	IsA	landmark
index/n	IsA	delivery/n
felon	RelatedTo	felony
hit_and_run	RelatedTo	poker
tellurium	IsA	non_metallic_element
adrenaline	IsA	inanimate_object
righteousness	Synonym	integrity
monitor	AtLocation	internet_cafe
adhesive	RelatedTo	glutinous
drum/n	IsA	container/n
ascendant	RelatedTo	ascend
mandala	RelatedTo	geometric
stock/n	IsA	suggestion/n
indication/n	IsA	family/n
complexity	IsA	excuse
roller/n	IsA	musical_composition/n
mediterranean_sea	RelatedTo	salinity
aldonic_acid	RelatedTo	oxidation
cutesy	RelatedTo	cute
sport_competition	IsA	purposeful_composite_physical_and_mental_activity
jellyfish	AtLocation	pacific_ocean
compare/v	IsA	transform/v
flatness	RelatedTo	dullness
deli_restaurant	AtLocation	urban_area
dry_clean	RelatedTo	solvent
protist	RelatedTo	unicellular
dwell/n	IsA	social_control/n
render	RelatedTo	illustration
anti_semitism	RelatedTo	assyrian
kosher_delicatessen	AtLocation	water_cool
walrus	HasA	tusk
attend_classical_concert	HasFirstSubevent	dress_appropriately
jaw/n	IsA	subordinate/n
disconnect	RelatedTo	sever
identikit	RelatedTo	person
leave_line	Causes	impatience
liquor/n	IsA	food/n
b	RelatedTo	bachelor
clothe_closet	AtLocation	street_corner
ice_hockey	PartOf	penalty
examine	Synonym	inspect
baritone	RelatedTo	tenor
check/n	IsA	negligence/n
trier	RelatedTo	moselle
poetry	RelatedTo	imagination
address_label	AtLocation	office_supply_store
galactic	Synonym	galaxy
full/a	Synonym	ram
reach_advantage	HasSubevent	checkmate
contest	RelatedTo	defend
lab	RelatedTo	labrador
asset/n	IsA	possession/n
gunfire	RelatedTo	gunpowder
athlete	AtLocation	locker_room
idyll	RelatedTo	rural
abandonware	RelatedTo	demoware
me	RelatedTo	maine
bay	RelatedTo	somalia
irradiation	RelatedTo	illumination
fracture/v	IsA	re_create/v
angelology	RelatedTo	principality
defensible	RelatedTo	defend
purify	RelatedTo	purity
mosaic	IsA	web_browser
watch_television_show	HasPrerequisite	patience
favorable	Synonym	useful
vitamin	IsA	dietary_supplement
supervisor	RelatedTo	oversee
vegetation/n	IsA	district/n
seashore/n	IsA	christian/n
stab	RelatedTo	criticism
give_birth/v	IsA	show/v
terminal/n	IsA	kind/n
lace	Synonym	shoelace
forge/v	IsA	originate/v
easy_as_pie	Synonym	walkover
animate	RelatedTo	vigour
choose	RelatedTo	make_decision
tna	DerivedFrom	threose_nucleic_acid
monocot_family/n	IsA	unit/n
deify	Synonym	exalt
careful	Synonym	solicitous
cloak	RelatedTo	irc
scapular	RelatedTo	bandage
snort	RelatedTo	snore
fornicate	RelatedTo	fornicate
arrange	Synonym	classify
coherent	RelatedTo	cohesive
arena	AtLocation	stadium
copy/v	IsA	count/v
cynical	RelatedTo	contempt
monitor/n	IsA	observation/n
swallow	RelatedTo	chew
trifle	RelatedTo	little
massacre	RelatedTo	massacre
fly_in_airplane	MotivatedByGoal	get_somewhere
sloth	AtLocation	costa_rica
train_track	AtLocation	countryside
ectoderm	RelatedTo	metazoan
subatomic_particle	RelatedTo	photon
acene	RelatedTo	arrangement
throw/v	IsA	shape/v
spaniel	IsA	male/n
forty	DerivedFrom	ty
organize/v	DerivedFrom	organization/n
originate/v	DerivedFrom	begin/n
heal	RelatedTo	cure
breakable/a	DerivedFrom	break/v
master/n	IsA	list/n
attachment/n	IsA	acquisition/n
argument/n	IsA	attitude/n
hydrogen_fluoride	IsA	chemically_acidic_substance
prayer	IsA	intentional_action
brewer	RelatedTo	malt
spite	RelatedTo	injure
air_ticket	AtLocation	courtroom
skimp	RelatedTo	slight
thing/n	IsA	application/n
test/v	DerivedFrom	test/n
abuse	Synonym	vilify
gloss	RelatedTo	insert
azores	PartOf	portugal
top/v	Synonym	surpass
lawn_mower	AtLocation	nevada
yoke	RelatedTo	plough
leeway	IsA	scalar_quantity
sound/n	IsA	arrangement/n
enclose/v	IsA	form/v
catch/n	IsA	occupation/n
unpardonable	RelatedTo	impossible
dread	RelatedTo	dread
vertebral_column	Synonym	spinal_column
malignant_tumor	ReceivesAction	cure
welt	RelatedTo	reinforce
fremd	RelatedTo	guest
boulder	RelatedTo	diameter
at_work	RelatedTo	workplace
muscovite	RelatedTo	russian
take_in_film	HasSubevent	nap
meatloaf	DerivedFrom	loaf
grip	RelatedTo	grasp
displeasure	Synonym	suffer
marketplace	IsA	shop_center
nourish	RelatedTo	instruct
rescue/v	IsA	defend/v
idol	RelatedTo	icon
acute/a	Antonym	obtuse
adaptedness	RelatedTo	adaptational
emulate	RelatedTo	person
capitalize/v	DerivedFrom	capital/n
advantage/n	IsA	location/n
plural	RelatedTo	dual
zoospore	RelatedTo	asexual
stupa	RelatedTo	relic
proportion	RelatedTo	ratio
political_orientation/n	IsA	angle/n
bash	RelatedTo	disconcert
economics	DerivedFrom	economic
brass	IsA	information_bear_object
talkative	RelatedTo	consequence
lith	EtymologicallyDerivedFrom	lid
puffer	RelatedTo	locomotive
scruff	RelatedTo	scuff
minor	RelatedTo	responsibility
bipartite	DerivedFrom	partite
headband	RelatedTo	horseshoe
combination/n	IsA	work/n
curve/n	IsA	procedure/n
recur	RelatedTo	indefinitely
microwave	IsA	appliance
color/n	IsA	share/n
snap/v	IsA	trade/v
fond	RelatedTo	affectionate
pass/n	IsA	flight/n
locker	AtLocation	stadium
admit/v	IsA	fix/v
anorexic	RelatedTo	anorexia_nervosa
honor/n	IsA	topographic_point/n
strut	RelatedTo	bulge
apparent/a	DerivedFrom	appear/v
double_star_system	RelatedTo	quadruple_star_system
contrivance	EtymologicallyDerivedFrom	ance
measurable	RelatedTo	significant
erase	RelatedTo	shave
saloon	RelatedTo	western
curiosity	CausesDesire	go_to_market
watch_musician_perform	HasPrerequisite	good_manner
tower/n	IsA	body_part/n
preacher	RelatedTo	old_testament
abutment	RelatedTo	denture
game/n	IsA	game_equipment/n
keep/v	IsA	complicate/v
backcast	EtymologicallyDerivedFrom	forecast
dialogue	RelatedTo	script
translate/v	IsA	repeat/v
orchestra_pit	AtLocation	fridge
index/n	IsA	magnitude/n
chestnut/n	IsA	actor/n
feckless/a	Synonym	reckless
lane	IsA	inanimate_object
lazy	Synonym	slothful
olive	IsA	domesticate_plant
tear/v	IsA	demand/v
great_bear	Synonym	ursa_major
information/n	IsA	message/n
oblivion	RelatedTo	oblivious
find/v	IsA	think/v
fight_inflation	UsedFor	sucker
clothe_store_change_room	AtLocation	idaho
cellulose	IsA	saccharide
toil	RelatedTo	labour
contraceptive_device	AtLocation	plaza
aversion	RelatedTo	adverse
folklore	RelatedTo	superstition
rowan	RelatedTo	deciduous
body_of_water/n	IsA	sensitivity/n
breakable/a	DerivedFrom	crack/v
gang	RelatedTo	person
stud	RelatedTo	framework
lance	RelatedTo	spear
trace/n	IsA	drain/n
rotflmao	RelatedTo	rofl
oddball	RelatedTo	mainstream
moisturizer	RelatedTo	wetness
tuck	RelatedTo	stitch
hyperbola	IsA	conic_section
attire/n	IsA	record/n
program_computer	HasPrerequisite	plug_in
giggle	RelatedTo	laughter
assume/v	IsA	remove/v
hemoglobin	RelatedTo	red_blood_cell
